State,taxRate,LongStateName
AL,8.97,ALABAMA
AK,1.78,ALASKA
AZ,8.25,ARIZONA
AR,9.30,ARKANSAS
CA,8.48,CALIFORNIA
CO,7.52,COLORADO
CT,6.35,CONNECTICUT
DE,0,DELAWARE
FL,6.66,FLORIDA
GA,7.01,GEORGIA
HI,4.35,HAWAII
ID,6.03,IDAHO
IL,8.64,ILLINOIS
IN,7.00,INDIANA
IA,6.79,IOWA
KS,8.60,KANSAS
KY,6.00,KENTUCKY
LA,9.00,LOUISIANA
ME,5.50,MAINE
MD,6.00,MARYLAND
MA,6.25,MASSACHUSETTS
MI,6.00,MICHIGAN
MN,7.27,MINNESOTA
MS,7.07,MISSISSIPPI
MO,7.86,MISSOURI
MT,0,MONTANA
NE,6.87,NEBRASKA
NV,7.98,NEVADA
NH,0,NEW HAMPSHIRE
NJ,6.97,NEW JERSEY
NM,7.51,NEW MEXICO
NY,8.49,NEW YORK
NC,6.90,NORTH CAROLINA
ND,6.82,NORTH DAKOTA
OH,7.14,OHIO
OK,8.82,OKLAHOMA
OR,0,OREGON
PA,6.34,PENNSYLVANIA
RI,7.00,RHODE ISLAND
SC,7.22,SOUTH CAROLINA
SD,5.84,SOUTH DAKOTA
TN,9.46,TENNESSEE
TX,8.17,TEXAS
UT,6.69,UTAH
VT,6.17,VERMONT
VA,5.63,VIRGINIA
WA,8.89,WASHINGTON
WV,6.62,WEST VIRGINIA
WI,5.41,WISCONSIN
WY,5.42,WYOMING
DC,5.75,WASHINGTON DC
